origin,dest,Россия,Аэрофлот,Победа,S7 Airlines,Уральские авиалинии
SVO,LED,3724.0,4954.0,2409.0,5514.0,
SVO,AER,6859.0,6320.0,3439.0,13312.0,4102.0
SVO,GOJ,4353.0,,,,
SVO,SVX,9756.0,,3224.0,,3873.0
SVO,KZN,4719.0,4587.0,,5832.0,
SVO,OVB,8731.0,,,11958.0,
SVO,UFA,3731.0,,,6417.0,
SVO,KHV,16023.0,,,,
SVO,VVO,16000.0,,,,
SVO,ASF,,,4499.0,,
LED,SVO,3724.0,4982.0,2409.0,5514.0,
LED,AER,13164.0,13871.0,,,7329.0
LED,GOJ,3687.0,,,,
LED,SVX,7373.0,,6807.0,,9269.0
LED,KZN,5267.0,10043.0,,,
LED,OVB,10532.0,19601.0,,16083.0,
LED,UFA,2318.0,,2154.0,,
LED,KHV,,,,,21732.0
LED,VVO,,,,,24165.0
LED,ASF,,,4959.0,,
AER,SVO,5097.0,4740.0,2854.0,4722.0,4080.0
AER,LED,11585.0,11596.0,,,8600.0
AER,GOJ,4214.0,9479.0,,,
AER,SVX,5267.0,,4947.0,,4971.0
AER,KZN,5267.0,4214.0,4701.0,,
AER,OVB,,,4263.0,8001.0,
AER,UFA,5267.0,,2215.0,,
AER,KHV,60069.0,24612.0,,31270.0,22940.0
AER,VVO,,22675.0,,29139.0,25246.0
AER,ASF,,,,,
GOJ,SVO,4489.0,,,,
GOJ,LED,4214.0,,,,
GOJ,AER,14729.0,,,,
GOJ,SVX,,,,,
GOJ,KZN,,,,,
GOJ,OVB,,10757.0,,,
GOJ,UFA,,,,,
GOJ,ASF,,,,,
SVX,SVO,9901.0,,3816.0,,4468.0
SVX,LED,7899.0,,5746.0,,8059.0
SVX,AER,11596.0,15381.0,4916.0,,5671.0
SVX,GOJ,,,,,
SVX,KZN,,15932.0,,,
SVX,OVB,,,,,
SVX,UFA,,,,,
SVX,VVO,,34541.0,,19011.0,
SVX,ASF,,,,,
KZN,SVO,7654.0,5697.0,,5102.0,
KZN,LED,6320.0,,,,
KZN,AER,12255.0,17234.0,6552.0,,
KZN,GOJ,,,,,
KZN,SVX,,,,,
KZN,OVB,,,,13586.0,
KZN,UFA,,,,,
KZN,VVO,,42183.0,,36377.0,
KZN,ASF,,,,,
OVB,SVO,8675.0,,,11958.0,
OVB,LED,13691.0,23379.0,,14804.0,
OVB,AER,13809.0,,7995.0,16416.0,
OVB,GOJ,,,,,
OVB,SVX,,,22695.0,,
OVB,KZN,,,,13586.0,
OVB,UFA,,,,15556.0,
OVB,VVO,,,,23613.0,
OVB,ASF,,,,,
UFA,SVO,6033.0,,2554.0,6417.0,
UFA,LED,6326.0,,3713.0,,
UFA,AER,12124.0,14509.0,4708.0,,
UFA,GOJ,,24363.0,,,
UFA,SVX,,,,,
UFA,KZN,,16733.0,,,
UFA,OVB,,,,15556.0,
UFA,VVO,,31116.0,,18710.0,
UFA,ASF,,17340.0,,,
KHV,SVO,16126.0,,,,
KHV,LED,,40226.0,,,
KHV,AER,25956.0,109758.0,,102590.0,67674.0
KHV,GOJ,,,,,
KHV,SVX,,,,,
KHV,KZN,,44070.0,,,
KHV,OVB,,,,,
KHV,UFA,,42928.0,,,
KHV,VVO,,,,,
KHV,ASF,,,,,
VVO,SVO,16107.0,,,,
VVO,LED,,26436.0,,41002.0,
VVO,AER,,,,29029.0,24944.0
VVO,GOJ,,,,,
VVO,SVX,,32692.0,,16001.0,
VVO,KZN,,32150.0,,39134.0,
VVO,OVB,,,,18998.0,
VVO,UFA,,29274.0,,18710.0,
VVO,KHV,,,,,
VVO,ASF,,,,,
ASF,SVO,,,3981.0,,
ASF,LED,,,5557.0,,
ASF,AER,,35969.0,,,
ASF,GOJ,,,,,
ASF,SVX,,,,,
ASF,KZN,,,,,
ASF,OVB,,,,,
ASF,UFA,,,,,
